2026-07-13 18:14:34 | User: labish     | Action: PROGRAM_START   | Target: task3
2026-07-13 18:19:47 | User: system     | Action: PROGRAM_START   | Target: task3
2026-07-13 20:32:49 | User: system     | Action: PROGRAM_START   | Target: task3
2026-07-13 20:32:49 | User: system     | Action: CREATE          | Target: notes.txt
2026-07-13 20:32:49 | User: system     | Action: WRITE           | Target: notes.txt
2026-07-13 20:32:49 | User: system     | Action: READ            | Target: notes.txt
2026-07-13 20:32:49 | User: system     | Action: DELETE          | Target: notes.txt
2026-07-13 20:38:39 | User: system     | Action: PROGRAM_START   | Target: task3
2026-07-13 20:38:39 | User: system     | Action: CREATE          | Target: notes.txt
2026-07-13 20:38:39 | User: system     | Action: WRITE           | Target: notes.txt
2026-07-13 20:38:39 | User: system     | Action: READ            | Target: notes.txt
2026-07-13 20:38:39 | User: system     | Action: DELETE          | Target: notes.txt
2026-07-13 20:40:20 | User: system     | Action: PROGRAM_START   | Target: task3
2026-07-13 20:40:20 | User: system     | Action: CREATE          | Target: notes.txt
2026-07-13 20:40:20 | User: system     | Action: WRITE           | Target: notes.txt
2026-07-13 20:40:20 | User: system     | Action: READ            | Target: notes.txt
2026-07-13 20:40:20 | User: system     | Action: DELETE          | Target: notes.txt
2026-07-13 21:21:53 | User: system     | Action: PROGRAM_START   | Target: task3
2026-07-13 21:22:02 | User: labish     | Action: LOGIN_FAILED    | Target: -
2026-07-13 21:22:02 | User: system     | Action: PROGRAM_ABORTED | Target: authentication failed
2026-07-13 21:27:36 | User: system     | Action: PROGRAM_START   | Target: task3
2026-07-13 21:27:47 | User: admin      | Action: LOGIN_SUCCESS   | Target: -
2026-07-13 21:27:47 | User: admin      | Action: CREATE          | Target: notes.txt
2026-07-13 21:27:47 | User: admin      | Action: WRITE           | Target: notes.txt
2026-07-13 21:27:47 | User: admin      | Action: READ            | Target: notes.txt
2026-07-13 21:27:47 | User: admin      | Action: CREATE          | Target: secret.txt
2026-07-13 21:27:47 | User: admin      | Action: WRITE_ENCRYPTED | Target: secret.txt
2026-07-13 21:27:47 | User: admin      | Action: READ_ENCRYPTED  | Target: secret.txt
2026-07-13 21:27:47 | User: guest      | Action: PERMISSION_DENIED | Target: secret.txt
2026-07-13 21:27:47 | User: admin      | Action: DELETE          | Target: notes.txt
2026-07-13 21:27:47 | User: admin      | Action: DELETE          | Target: secret.txt
2026-07-13 21:27:47 | User: admin      | Action: PROGRAM_END     | Target: task3
2026-07-13 21:28:08 | User: system     | Action: PROGRAM_START   | Target: task3
2026-07-13 21:28:21 | User: guest      | Action: LOGIN_SUCCESS   | Target: -
2026-07-13 21:28:21 | User: guest      | Action: CREATE          | Target: notes.txt
2026-07-13 21:28:21 | User: guest      | Action: WRITE           | Target: notes.txt
2026-07-13 21:28:21 | User: guest      | Action: READ            | Target: notes.txt
2026-07-13 21:28:21 | User: guest      | Action: CREATE          | Target: secret.txt
2026-07-13 21:28:21 | User: guest      | Action: WRITE_ENCRYPTED | Target: secret.txt
2026-07-13 21:28:21 | User: guest      | Action: READ_ENCRYPTED  | Target: secret.txt
2026-07-13 21:28:21 | User: guest      | Action: READ_ENCRYPTED  | Target: secret.txt
2026-07-13 21:28:21 | User: guest      | Action: DELETE          | Target: notes.txt
2026-07-13 21:28:21 | User: guest      | Action: DELETE          | Target: secret.txt
2026-07-13 21:28:21 | User: guest      | Action: PROGRAM_END     | Target: task3
2026-07-14 00:19:14 | User: system     | Action: PROGRAM_START   | Target: task3
2026-07-14 00:19:23 | User: admin      | Action: LOGIN_SUCCESS   | Target: -
2026-07-14 00:19:23 | User: admin      | Action: CREATE          | Target: notes.txt
2026-07-14 00:19:23 | User: admin      | Action: WRITE           | Target: notes.txt
2026-07-14 00:19:23 | User: admin      | Action: READ            | Target: notes.txt
2026-07-14 00:19:23 | User: admin      | Action: CREATE          | Target: secret.txt
2026-07-14 00:19:23 | User: admin      | Action: WRITE_ENCRYPTED | Target: secret.txt
